Model,Akurasi
Naive Bayes,0.8461538461538461
SVM,0.9034369885433715
KNN,0.8199672667757774
Decision Tree,0.8788870703764321
Random Forest,0.8739770867430442
Neural Network,0.8968903436988543
Logistic Regression,0.8641571194762684
